iter	Passed	Remaining
0	22	114900
1	52	132207
2	76	126893
3	100	126132
4	126	126488
5	153	127840
6	178	127223
7	204	127488
8	229	127494
9	258	128887
10	286	129840
11	314	130687
12	341	130989
13	370	132008
14	399	132917
15	428	133537
16	460	134993
17	489	135475
18	517	135774
19	547	136262
20	577	136884
21	606	137277
22	635	137533
23	672	139414
24	706	140562
25	740	141598
26	770	141875
27	805	143003
28	837	143598
29	869	144017
30	898	144013
31	928	144105
32	957	144174
33	985	144001
34	1012	143638
35	1041	143568
36	1069	143467
37	1097	143294
38	1126	143254
39	1154	143140
40	1181	142884
41	1209	142780
42	1237	142645
43	1267	142744
44	1296	142766
45	1325	142784
46	1354	142754
47	1389	143393
48	1424	143976
49	1455	144128
50	1485	144182
51	1514	144089
52	1542	143986
53	1570	143877
54	1598	143679
55	1625	143490
56	1652	143317
57	1679	143135
58	1707	142998
59	1734	142797
60	1761	142644
61	1789	142512
62	1816	142316
63	1843	142148
64	1872	142144
65	1901	142144
66	1928	142013
67	1964	142505
68	1989	142198
69	2017	142059
70	2044	141910
71	2070	141700
72	2097	141549
73	2124	141445
74	2152	141337
75	2180	141260
76	2207	141159
77	2240	141406
78	2273	141624
79	2310	142085
80	2338	141986
81	2365	141887
82	2393	141763
83	2420	141631
84	2448	141583
85	2477	141548
86	2504	141440
87	2532	141348
88	2558	141197
89	2586	141080
90	2612	140911
91	2638	140777
92	2666	140715
93	2694	140620
94	2721	140492
95	2747	140355
96	2774	140217
97	2799	140052
98	2825	139883
99	2852	139758
100	2880	139705
101	2906	139560
102	2933	139478
103	2960	139363
104	2987	139258
105	3013	139134
106	3039	139015
107	3066	138879
108	3092	138750
109	3119	138693
110	3147	138642
111	3174	138531
112	3201	138474
113	3228	138388
114	3257	138352
115	3291	138578
116	3317	138470
117	3344	138365
118	3370	138238
119	3396	138143
120	3423	138050
121	3450	137947
122	3477	137871
123	3503	137783
124	3530	137671
125	3556	137590
126	3583	137499
127	3610	137418
128	3637	137334
129	3666	137351
130	3692	137225
131	3720	137213
132	3747	137138
133	3774	137066
134	3801	136982
135	3829	136949
136	3855	136872
137	3885	136879
138	3912	136823
139	3947	137033
140	3988	137434
141	4020	137532
142	4046	137425
143	4070	137271
144	4095	137120
145	4119	136959
146	4143	136807
147	4167	136637
148	4190	136445
149	4214	136270
150	4238	136115
151	4263	135976
152	4286	135800
153	4311	135665
154	4336	135558
155	4364	135533
156	4394	135565
157	4423	135547
158	4449	135483
159	4476	135406
160	4501	135299
161	4530	135310
162	4559	135308
163	4586	135240
164	4610	135115
165	4634	134955
166	4659	134833
167	4683	134702
168	4707	134560
169	4729	134381
170	4753	134230
171	4798	134694
172	4821	134524
173	4843	134345
174	4865	134152
175	4886	133931
176	4909	133782
177	4933	133641
178	4956	133480
179	4977	133282
180	5000	133132
181	5023	132973
182	5045	132818
183	5074	132818
184	5098	132692
185	5121	132552
186	5144	132406
187	5166	132235
188	5188	132071
189	5211	131934
190	5235	131826
191	5258	131688
192	5283	131596
193	5306	131464
194	5330	131345
195	5354	131233
196	5377	131103
197	5400	130982
198	5425	130897
199	5448	130757
200	5471	130642
201	5495	130541
202	5519	130429
203	5541	130274
204	5564	130144
205	5587	130020
206	5609	129875
207	5633	129789
208	5657	129684
209	5680	129578
210	5705	129499
211	5728	129370
212	5752	129274
213	5776	129181
214	5798	129057
215	5820	128924
216	5845	128832
217	5867	128702
218	5890	128602
219	5914	128503
220	5938	128427
221	5962	128317
222	5985	128216
223	6007	128094
224	6030	127981
225	6054	127885
226	6077	127785
227	6100	127679
228	6123	127586
229	6146	127474
230	6169	127371
231	6192	127273
232	6215	127166
233	6239	127081
234	6262	126981
235	6284	126870
236	6308	126782
237	6330	126670
238	6353	126574
239	6376	126473
240	6399	126362
241	6422	126270
242	6445	126181
243	6470	126116
244	6492	126012
245	6516	125934
246	6539	125836
247	6562	125741
248	6585	125659
249	6608	125562
250	6631	125468
251	6654	125386
252	6678	125301
253	6701	125214
254	6725	125146
255	6750	125093
256	6772	124995
257	6796	124915
258	6819	124828
259	6842	124742
260	6865	124653
261	6887	124558
262	6910	124473
263	6934	124396
264	6957	124323
265	6980	124240
266	7004	124166
267	7027	124086
268	7051	124011
269	7073	123914
270	7097	123844
271	7122	123797
272	7145	123723
273	7169	123666
274	7195	123628
275	7219	123570
276	7241	123478
277	7264	123388
278	7287	123309
279	7312	123271
280	7337	123225
281	7362	123176
282	7384	123082
283	7407	123003
284	7431	122943
285	7454	122864
286	7477	122792
287	7502	122745
288	7526	122687
289	7548	122602
290	7572	122541
291	7594	122455
292	7617	122368
293	7640	122295
294	7662	122216
295	7688	122188
296	7711	122110
297	7733	122028
298	7758	121976
299	7781	121910
300	7803	121825
301	7827	121759
302	7850	121699
303	7873	121618
304	7897	121574
305	7921	121509
306	7944	121443
307	7967	121373
308	7989	121295
309	8014	121249
